Code,Name,GB Earmarking,Rationale
A01,General budget support,Softly earmarked,Follows GB Earmarking Modality F “Country-Based Pooled Fund”. Country-specific but otherwise fully flexible.
A02,Sector budget support,Earmarked,Follows GB Earmarking Modality G “Directed to an aid organisation’s country operations”. Country and thematic specific but otherwise fully flexible.
B01,"Core support to NGOs, other private bodies, PPPs and research institutes",Unearmarked,Follows DCD/DAC/STAT(2020)24/REV1
B02,Core contributions to multilateral institutions and global funds,Unearmarked,Follows DCD/DAC/STAT(2020)24/REV1
B021,Core contributions to multilateral institutions,Unearmarked,Follows DCD/DAC/STAT(2020)24/REV1
B022,Core contributions to global funds,Unearmarked,Follows DCD/DAC/STAT(2020)24/REV1
B03,Contributions to specific-purpose programmes and funds managed by implementing partners,Depends whether activities are global/regional or country,Follows logic of new underlying codes.
B031,Contributions to multi-donor/multi-entity funding mechanisms,Softly earmarked,Follows DCD/DAC/STAT(2020)24/REV1
B032,Contributions to multi-donor/single-entity funding mechanisms,Depends whether activities are global/regional or country,Follows DCD/DAC/STAT(2020)24/REV1
B033,Contributions to single-donor funding mechanisms and contributions earmarked for a specific funding window or geographical location,Earmarked,Follows logic of B032 (for a specific geographical location; though unclear whether earmarking for a specific funding window should count as earmarked)
B04,Basket funds/pooled funding,Depends whether activities are global/regional or country,"Following logic of B032. In general, basket funds / pooled funds normally refer to country-level funds, so are likely to be Earmarked."
C01,Project-type interventions,Tightly earmarked,Follows DCD/DAC/STAT(2020)24/REV1
D01,Donor country personnel,Tightly earmarked,Follows DCD/DAC/STAT(2020)24/REV1
D02,Other technical assistance,Tightly earmarked,Follows DCD/DAC/STAT(2020)24/REV1
E01,Scholarships/training in donor country,Tightly earmarked,Follows DCD/DAC/STAT(2020)24/REV1
